,Home,GoalHome,GoalAway,Away,season
0,Real Madrid,4,3,Reims,1956
1,Milan,2,1,Real Madrid,1956
2,Hibernian,0,1,Reims,1956
3,Real Madrid,4,2,Milan,1956
4,Reims,2,0,Hibernian,1956
5,Milan,7,2,Rapid Wien,1956
6,Partizan,3,0,Real Madrid,1956
7,MTK,4,4,Reims,1956
8,Hibernian,1,0,Djurgården,1956
9,Rapid Wien,1,1,Milan,1956
10,Real Madrid,4,0,Partizan,1956
11,Reims,4,2,MTK,1956
12,Djurgården,1,3,Hibernian,1956
13,Saarbrücken,1,4,Milan,1956
14,PSV,1,0,Rapid Wien,1956
15,Reims,2,2,AGF,1956
16,Anderlecht,1,4,MTK,1956
17,Hibernian,1,1,Essen,1956
18,Gwardia,1,4,Djurgården,1956
19,Real Madrid,5,0,Servette,1956
20,Partizan,5,2,Sporting CP,1956
21,Milan,3,4,Saarbrücken,1956
22,AGF,0,2,Reims,1956
23,Rapid Wien,6,1,PSV,1956
24,Djurgården,0,0,Gwardia,1956
25,Essen,0,4,Hibernian,1956
26,Servette,0,2,Real Madrid,1956
27,MTK,6,3,Anderlecht,1956
28,Sporting CP,3,3,Partizan,1956
29,Real Madrid,2,0,Fiorentina,1957
30,Man United,2,2,Real Madrid,1957
31,Fiorentina,0,0,Crvena zvezda,1957
32,Real Madrid,3,1,Man United,1957
33,Crvena zvezda,0,1,Fiorentina,1957
34,Nice,2,3,Real Madrid,1957
35,Grasshoppers,2,2,Fiorentina,1957
36,CSKA Sofia,2,1,Crvena zvezda,1957
37,Man United,3,0,Athletic Club,1957
38,Crvena zvezda,3,1,CSKA Sofia,1957
39,Real Madrid,3,0,Nice,1957
40,Fiorentina,3,1,Grasshoppers,1957
41,Athletic Club,5,3,Man United,1957
42,Dinamo Bucureşti,3,2,CSKA Sofia,1957
43,Honvéd,3,3,Athletic Club,1957
44,Grasshoppers,2,0,Slovan Bratislava,1957
45,Norrköping,0,1,Fiorentina,1957
46,Dortmund,0,0,Man United,1957
47,Nice,2,1,Rangers,1957
48,Rapid Wien,3,1,Real Madrid,1957
49,Crvena zvezda,2,0,Rapid,1957
50,Real Madrid,2,0,Rapid Wien,1957
51,Nice,3,1,Rangers,1957
52,Athletic Club,3,2,Honvéd,1957
53,Fiorentina,1,1,Norrköping,1957
54,Rapid,3,4,Crvena zvezda,1957
55,Real Madrid,4,2,Rapid Wien,1957
56,Rangers,2,1,Nice,1957
57,Slovan Bratislava,1,0,Grasshoppers,1957
58,CSKA Sofia,8,1,Dinamo Bucureşti,1957
59,Man United,3,2,Dortmund,1957
60,Real Madrid,3,2,Milan,1958
61,Milan,4,0,Man United,1958
62,Vasas,2,0,Real Madrid,1958
63,Man United,2,1,Milan,1958
64,Real Madrid,4,0,Vasas,1958
65,Milan,4,1,Dortmund,1958
66,Vasas,4,0,Ajax,1958
67,Sevilla,2,2,Real Madrid,1958
68,Crvena zvezda,3,3,Man United,1958
69,Dortmund,1,1,Milan,1958
70,Ajax,2,2,Vasas,1958
71,Real Madrid,8,0,Sevilla,1958
72,Man United,2,1,Crvena zvezda,1958
73,Dortmund,3,1,FCSB,1958
74,Rangers,1,4,Milan,1958
75,Dortmund,4,2,FCSB,1958
76,Sevilla,4,0,AGF,1958
77,Man United,3,0,Dukla,1958
78,Young Boys,1,1,Vasas,1958
79,Aue,1,3,Ajax,1958
80,Norrköping,2,2,Crvena zvezda,1958
81,Antwerp,1,2,Real Madrid,1958
82,Milan,2,0,Rangers,1958
83,FCSB,3,1,Dortmund,1958
84,Dukla,1,0,Man United,1958
85,AGF,2,0,Sevilla,1958
86,Vasas,2,1,Young Boys,1958
87,Real Madrid,6,0,Antwerp,1958
88,Ajax,1,0,Aue,1958
89,Crvena zvezda,2,1,Norrköping,1958
90,Real Madrid,2,0,Reims,1959
91,Reims,3,0,Young Boys,1959
92,Atlético,1,0,Real Madrid,1959
93,Real Madrid,2,1,Atlético,1959
94,Real Madrid,2,1,Atlético,1959
95,Young Boys,1,0,Reims,1959
